--- Starting Evaluation ---

Title	Install AIDE
Rule	xccdf_org.ssgproject.content_rule_package_aide_installed
Result	fail

Title	Build and Test AIDE Database
Rule	xccdf_org.ssgproject.content_rule_aide_build_database
Result	fail

Title	Configure AIDE to Verify the Audit Tools
Rule	xccdf_org.ssgproject.content_rule_aide_check_audit_tools
Result	fail

Title	Configure Periodic Execution of AIDE
Rule	xccdf_org.ssgproject.content_rule_aide_periodic_cron_checking
Result	fail

Title	Implement Custom Crypto Policy Modules for CIS Benchmark
Rule	xccdf_org.ssgproject.content_rule_configure_custom_crypto_policy_cis
Result	fail

Title	Ensure /dev/shm is configured
Rule	xccdf_org.ssgproject.content_rule_partition_for_dev_shm
Result	pass

Title	Ensure /tmp Located On Separate Partition
Rule	xccdf_org.ssgproject.content_rule_partition_for_tmp
Result	fail

Title	Make sure that the dconf databases are up-to-date with regards to respective keyfiles
Rule	xccdf_org.ssgproject.content_rule_dconf_db_up_to_date
Result	pass

Title	Disable the GNOME3 Login User List
Rule	xccdf_org.ssgproject.content_rule_dconf_gnome_disable_user_list
Result	fail

Title	Disable GNOME3 Automounting
Rule	xccdf_org.ssgproject.content_rule_dconf_gnome_disable_automount
Result	fail

Title	Disable GNOME3 Automount Opening
Rule	xccdf_org.ssgproject.content_rule_dconf_gnome_disable_automount_open
Result	fail

Title	Disable GNOME3 Automount running
Rule	xccdf_org.ssgproject.content_rule_dconf_gnome_disable_autorun
Result	fail

Title	Set GNOME3 Screensaver Inactivity Timeout
Rule	xccdf_org.ssgproject.content_rule_dconf_gnome_screensaver_idle_delay
Result	fail

Title	Set GNOME3 Screensaver Lock Delay After Activation Period
Rule	xccdf_org.ssgproject.content_rule_dconf_gnome_screensaver_lock_delay
Result	fail

Title	Ensure Users Cannot Change GNOME3 Screensaver Settings
Rule	xccdf_org.ssgproject.content_rule_dconf_gnome_screensaver_user_locks
Result	fail

Title	Ensure Users Cannot Change GNOME3 Session Idle Settings
Rule	xccdf_org.ssgproject.content_rule_dconf_gnome_session_idle_user_locks
Result	fail

Title	Install sudo Package
Rule	xccdf_org.ssgproject.content_rule_package_sudo_installed
Result	pass

Title	Ensure Only Users Logged In To Real tty Can Execute Sudo - sudo use_pty
Rule	xccdf_org.ssgproject.content_rule_sudo_add_use_pty
Result	fail

Title	Ensure Sudo Logfile Exists - sudo logfile
Rule	xccdf_org.ssgproject.content_rule_sudo_custom_logfile
Result	fail

Title	Ensure Users Re-Authenticate for Privilege Escalation - sudo !authenticate
Rule	xccdf_org.ssgproject.content_rule_sudo_remove_no_authenticate
Result	pass

Title	Require Re-Authentication When Using the sudo Command
Rule	xccdf_org.ssgproject.content_rule_sudo_require_reauthentication
Result	fail

Title	Install sequoia-sq Package
Rule	xccdf_org.ssgproject.content_rule_package_sequoia-sq_installed
Result	pass

Title	Ensure AlmaLinux GPG Key Installed
Rule	xccdf_org.ssgproject.content_rule_ensure_almalinux_gpgkey_installed
Result	pass

Title	Ensure gpgcheck Enabled In Main dnf Configuration
Rule	xccdf_org.ssgproject.content_rule_ensure_gpgcheck_globally_activated
Result	pass

Title	Ensure Local Login Warning Banner Is Configured Properly
Rule	xccdf_org.ssgproject.content_rule_banner_etc_issue_cis
Result	fail

Title	Ensure Remote Login Warning Banner Is Configured Properly
Rule	xccdf_org.ssgproject.content_rule_banner_etc_issue_net_cis
Result	fail

Title	Ensure Message Of The Day Is Configured Properly
Rule	xccdf_org.ssgproject.content_rule_banner_etc_motd_cis
Result	pass

Title	Verify Group Ownership of System Login Banner
Rule	xccdf_org.ssgproject.content_rule_file_groupowner_etc_issue
Result	pass

Title	Verify Group Ownership of System Login Banner for Remote Connections
